video_id,video_title,upload_date,view_count,like_count
pHmxYR8ag8,&quot;Tezkor studiya&quot;. Medal ostonasidagi kun,2021-07-26,7554,258
5FYSNbQwduQ,Tezkor studiya. Tokiodagi birinchi OLTIN MEDAL! Taekvondochi Ulug&#39;bek Rashitov - chempion!,2021-07-25,25667,552
GSb9qSFnF5E,"Tokio-2020. Olimpiadaning birinchi kuni, 25 iyulda kimlar ishtirok etadi?",2021-07-24,16382,376
DwvYH7q5UGU,Murod Xonto&#39;rayevning top 10 daxshatli nokautlari,2021-07-24,899897,10470
JjFR-rIPqpY,Tokio-2020 ochilish marosimi. O&#39;zbekistonda bayroqdor nega o&#39;zgardi?,2021-07-23,40361,662
dBC7wlnbP34,"Tokio-2020. Qur&#39;a tashlandi, dastlabki raqiblarimiz ma&#39;lum",2021-07-22,14214,335
TRfzEw8dPd8,Rasmiy Xabar Igor Sergeyev Tobol klubiga o&#39;tdi,2021-07-19,4168,101
fYGAM_aNbO0,A LIGA. &quot;Orient Motors&quot; - чемпион!,2021-07-18,2467,46
L5JN0pAzVfQ,Bugun Yevropa klubida ikki futbolchimiz debyut qiladi,2021-07-17,12693,244
dBWqWp_fec,"Sardor Rashidov Paxtakordan ketdi, Alisher Usmonov, Yevropa, Ikki futbolchimiz jamoasini o&#39;zgartirdi",2021-07-15,37138,616
JZchhx_NsSg,"«Samisov bilan»ning 4-soni— 2015-yilgi U-20 JCH, O&#39;zbekiston yoshlar terma jamoasi va Olimpik haqida",2021-07-15,2169,49
BZ3o_-8EWrI,"&quot;Yevro studiya&quot;. Italiya Yevropa qiroli, Angliya yana 55 yil kutadimi?",2021-07-12,3375,74
HWrIc-Koc-0,&quot;Yevro-studiya&quot;. Finalda kim g&#39;olib bo&#39;ladi? + UFC&#39;da Konorning oyog&#39;i sindi,2021-07-11,3029,70
61DRyoaX_JU,"Jenoa Shomurodovning o&#39;rniga boshqa futbolchi topdi, Eldor nega sotilayotgani ma&#39;lum qilindi",2021-07-10,29535,558
C2fVdMNyY1s,Samvel Babayan futbolga qaytmoqda,2021-07-09,11675,224
v7ePC4xcjSw,U-23. Qu&#39;ra haqida Avaz Berdiqulov va Ravshan Haydarovning fikrlari qanday?,2021-07-09,10791,206
Hp50jfWuTvg,Xorazmdan chiqqan millioner Jaloliddin Masharipov,2021-07-08,538328,4944
Voh6ZltUUdw,Бунақаси ҳали бўлмаган: VAR қандай ишлайди? Замонавий технологияни яқиндан ўрганамиз,2021-07-07,7788,115
q2rJcjXx5ko,Yangiliklar Ermatov ham xato qilgan,2021-07-06,8347,120
8EjlYoZ_-Ko,Superliga-2021. 12-turning eng chiroyli gollari TOP-5,2021-07-06,5945,120
5jhZTKbyev0,Superliga-2021. 12-turning barcha gollari,2021-07-06,2152,29
bGtKt51qEhc,Superliga. Paxtakor - Lokomotiv 2:1. Highlights,2021-07-04,10598,179
jelXA33kXbw,Superliga. Navbahor - Andijon 0:1. Highlights,2021-07-03,18567,312
RWFCXnQL1sM,Superliga. AGMK - Qo&#39;qon-1912 2:1. Highlights,2021-07-03,4284,100
gEBEFafO3EU,Eldor Shomurodov Roma nishonida. Shaxsan Mourinyo buni istamoqda,2021-07-03,21023,750
SYcY79VJAaA,"&quot;Tezkor va Yevro studiya&quot;. &quot;Turon&quot;dan tarixiy g&#39;alaba. Xayr, Belgiya",2021-07-03,3469,76
oJk5ybENDsc,"Dilshod Rahmatov - Braziliya bilan o&#39;yin, yosh futzalchilarga maslahat va 2018-yilgi pasayish haqida",2021-07-02,1895,96
fK5-al-IQYk,Futbolchimizga Belgiyadan taklif tushdi,2021-06-30,14072,354
XQZ7MUJE3M4,Superliga-2021. 11-turning eng chiroyli gollari TOP-5,2021-06-29,6260,128
wJDk5Dc-N0E,Terma Jamoaga germaniyalik mutaxassis olib kelinmoqda,2021-06-29,24842,536
ZnKAoCPHbx0,Superliga-2021. 11-turning barcha gollari,2021-06-29,3385,66
